"Story","Title","Result","Date","Stability","Duration (s)"
"Consume PUT de la APi de reservas","Actualiza(put) los datos que arroje el consumo de la api","SUCCESS","2024-05-10T16:13:24.4006494-05:00[America/Bogota]","0.0","6.46"
"Consume get de la APi de reservas","Obtener(get) los datos que arroje el consumo de la api","SUCCESS","2024-05-10T16:32:53.0096281-05:00[America/Bogota]","0.0","5.55"
"Consume POST de la APi de reservas","Enviar(post) los datos que arroje el consumo de la api","SUCCESS","2024-05-10T16:24:25.3762294-05:00[America/Bogota]","0.0","6.46"
